ID,คjญญ,Rule1,Rule2,Rule3,Rule4,Rule5,Rule6,Rule7,Rule8,Rule9,Rule10,Rule11,Rule12,Rule13,Rule14,Rule15,Rule16,Rule17,Rule18,Rule19,Rule20
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
102,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
102,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
102,5,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
102,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
102,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,10,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
103,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
103,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
103,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
104,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
104,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
104,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
104,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
106,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
106,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,7,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
106,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
106,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
108,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
108,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,8,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
108,9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
108,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0
109,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
109,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
109,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
109,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
110,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
110,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
110,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
110,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
110,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
111,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
111,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
111,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
111,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
112,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
112,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,6,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
112,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
112,9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
112,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
